id_achat,id_client,date_achat,montant,produit
1,1,2025-09-24,282.28,Headphones
2,1,2025-03-03,148.14,Phone
3,1,2025-01-28,679.93,Speaker
4,1,2025-11-02,96.07,Mouse
5,1,2025-05-05,41.46,Phone
6,2,2025-04-24,36.27,Headphones
7,2,2025-04-15,718.86,Speaker
8,3,2025-03-14,285.41,Laptop
9,3,2025-11-01,761.22,Tablet
10,3,2025-02-27,701.16,Keyboard
11,3,2025-10-08,285.09,Headphones
12,4,2025-11-02,101.82,Phone
13,4,2025-12-31,365.39,Keyboard
14,4,2025-08-18,607.69,Laptop
15,4,2025-02-21,732.43,Speaker
16,4,2025-09-05,133.58,Mouse
17,4,2025-07-01,88.01,Monitor
18,4,2025-01-31,831.11,Charger
19,5,2025-01-30,200.37,Phone
20,5,2025-02-24,55.37,Headphones
21,5,2025-04-13,775.34,Phone
22,5,2025-04-19,856.76,Phone
23,5,2025-08-03,386.32,Webcam
24,5,2025-09-09,639.33,Keyboard
25,5,2025-01-29,171.03,Keyboard
26,6,2025-08-24,937.29,Phone
27,6,2025-04-06,613.04,Tablet
28,6,2025-10-24,538.8,Headphones
29,7,2025-09-28,989.63,Speaker
30,7,2025-10-18,227.42,Keyboard
31,8,2025-08-18,218.87,Charger
32,8,2025-06-30,877.6,Keyboard
33,8,2025-04-14,220.5,Webcam
34,9,2025-07-12,464.26,Monitor
35,10,2025-09-04,434.15,Charger
36,10,2025-05-07,405.41,Headphones
37,10,2025-11-29,997.35,Tablet
38,10,2025-12-22,514.43,Phone
39,10,2025-01-21,758.22,Phone
40,11,2025-11-09,683.68,Charger
41,11,2025-11-27,72.89,Mouse
42,11,2025-03-22,599.93,Webcam
43,12,2025-10-17,862.17,Laptop
44,12,2025-07-02,683.48,Phone
45,12,2025-05-31,684.89,Speaker
46,12,2025-05-06,753.37,Keyboard
47,12,2025-03-20,120.44,Mouse
48,12,2025-04-12,166.58,Laptop
49,12,2025-11-11,954.28,Monitor
50,12,2025-05-29,972.17,Tablet
51,12,2025-02-27,512.6,Phone
52,13,2025-02-24,642.56,Charger
53,13,2025-06-15,206.92,Keyboard
54,13,2025-02-25,764.89,Speaker
55,13,2025-06-07,953.96,Speaker
56,13,2025-12-14,919.31,Charger
57,13,2025-06-01,330.91,Laptop
58,13,2025-09-10,120.75,Keyboard
59,14,2025-05-01,879.23,Phone
60,14,2025-11-28,94.8,Webcam
61,14,2025-02-04,817.86,Speaker
62,14,2025-10-29,768.18,Tablet
63,15,2025-07-16,610.53,Headphones
64,16,2025-08-15,405.0,Keyboard
65,16,2025-03-08,443.72,Speaker
66,16,2026-01-12,456.97,Headphones
67,16,2025-06-15,232.45,Keyboard
68,16,2025-02-18,30.82,Speaker
69,16,2025-08-21,237.81,Headphones
70,16,2025-05-12,17.12,Laptop
71,17,2025-12-07,222.09,Tablet
72,18,2025-09-20,478.24,Mouse
73,18,2025-09-16,198.51,Phone
74,18,2025-12-28,662.39,Keyboard
75,18,2025-12-19,429.34,Webcam
76,18,2025-06-08,865.2,Laptop
77,19,2025-08-31,345.91,Phone
78,19,2025-04-03,256.17,Headphones
79,20,2025-10-19,191.65,Webcam
80,20,2025-02-15,257.31,Phone
81,20,2025-02-05,448.7,Speaker
82,20,2025-10-02,106.93,Speaker
83,20,2025-04-17,837.67,Phone
84,21,2025-11-15,221.61,Mouse
85,21,2025-05-11,903.42,Tablet
86,22,2025-02-18,460.46,Mouse
87,23,2025-12-17,785.53,Webcam
88,23,2025-04-19,163.25,Monitor
89,23,2025-12-21,225.52,Laptop
90,23,2025-02-27,583.39,Speaker
91,23,2025-06-15,70.35,Keyboard
92,23,2025-05-06,66.59,Charger
93,23,2025-07-14,482.02,Speaker
94,23,2025-09-22,165.86,Speaker
95,24,2025-12-08,599.08,Headphones
96,24,2025-06-09,409.74,Charger
97,25,2025-03-23,623.19,Mouse
98,25,2025-06-11,660.8,Charger
99,26,2025-06-05,212.22,Keyboard
100,26,2025-04-10,246.3,Mouse
101,26,2025-10-06,139.57,Monitor
102,26,2025-05-02,462.65,Phone
103,26,2025-10-18,19.22,Charger
104,26,2026-01-17,998.47,Phone
105,27,2025-10-11,272.55,Keyboard
106,27,2025-09-27,882.06,Headphones
107,28,2025-02-15,835.41,Monitor
108,28,2025-09-12,615.56,Speaker
109,28,2025-09-22,17.74,Speaker
110,28,2025-03-26,306.38,Phone
111,29,2025-08-14,608.78,Keyboard
112,29,2025-10-29,211.56,Monitor
113,29,2025-04-24,510.35,Monitor
114,29,2025-03-23,906.28,Laptop
115,29,2025-07-17,101.38,Mouse
116,30,2025-06-15,980.0,Tablet
117,30,2025-05-03,743.82,Speaker
118,30,2026-01-13,708.61,Speaker
119,30,2025-09-24,19.57,Phone
120,31,2025-10-13,435.49,Laptop
121,31,2025-08-23,315.18,Laptop
122,31,2025-04-14,899.94,Headphones
123,32,2025-10-11,360.14,Speaker
124,32,2025-05-24,885.29,Mouse
125,32,2025-12-12,974.1,Tablet
126,32,2025-11-13,926.51,Headphones
127,32,2025-11-16,865.96,Tablet
128,32,2025-02-09,882.6,Laptop
129,32,2025-04-17,187.57,Keyboard
130,33,2025-12-04,673.21,Headphones
131,33,2025-01-31,274.14,Phone
132,33,2025-11-27,388.72,Laptop
133,33,2025-05-21,860.01,Headphones
134,33,2025-06-23,207.58,Webcam
135,33,2025-05-02,356.16,Headphones
136,33,2025-02-13,230.69,Headphones
137,34,2025-04-10,78.73,Monitor
138,34,2026-01-08,357.63,Speaker
139,34,2025-08-27,405.68,Speaker
140,34,2025-12-25,337.84,Laptop
141,35,2025-10-24,440.22,Keyboard
142,35,2025-05-21,442.03,Speaker
143,35,2025-04-11,124.49,Charger
144,36,2025-09-30,808.45,Headphones
145,36,2025-07-31,370.58,Phone
146,36,2025-06-21,949.39,Keyboard
147,36,2025-12-28,626.92,Phone
148,37,2026-01-09,316.19,Mouse
149,37,2025-09-25,332.92,Monitor
150,37,2025-07-16,558.87,Headphones
151,37,2025-03-15,426.24,Mouse
152,37,2025-05-01,680.54,Tablet
153,37,2025-03-14,619.36,Monitor
154,38,2025-04-24,310.84,Headphones
155,38,2025-11-04,435.59,Charger
156,39,2025-08-25,447.37,Headphones
157,39,2025-08-16,516.06,Tablet
158,39,2025-05-01,662.26,Monitor
159,39,2025-11-05,520.3,Charger
160,39,2025-09-03,341.84,Headphones
161,40,2025-07-04,207.14,Laptop
162,40,2026-01-02,55.75,Webcam
163,40,2025-09-02,615.16,Phone
164,40,2025-06-23,460.86,Charger
165,40,2025-06-08,202.49,Mouse
166,41,2025-04-14,659.5,Laptop
167,41,2025-03-13,893.73,Phone
168,41,2025-08-04,780.64,Headphones
169,41,2025-07-29,184.13,Speaker
170,42,2025-02-23,918.3,Phone
171,42,2025-11-08,461.9,Webcam
172,42,2025-02-06,670.9,Speaker
173,42,2025-12-19,599.5,Webcam
174,43,2025-03-02,509.73,Speaker
175,43,2025-03-19,451.45,Tablet
176,43,2025-09-19,746.22,Webcam
177,43,2025-03-22,455.57,Headphones
178,43,2025-11-22,841.46,Monitor
179,43,2025-10-10,768.16,Speaker
180,44,2025-07-01,445.47,Monitor
181,44,2025-09-07,242.15,Keyboard
182,44,2025-02-12,326.51,Speaker
183,44,2025-06-17,89.77,Tablet
184,45,2025-06-16,709.35,Phone
185,46,2025-09-07,471.27,Laptop
186,46,2025-07-19,214.77,Mouse
